"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"194",12,"Seth Williams",DEN,"11"," 6.6","-","-","-"
"195",12,"Phillip Dorsett II",JAC,"7"," 5.8","+2","-3.8","0% (0/2)"
"196",12,"Nick Westbrook-Ikhine",TEN,"13"," 5.2","-23","-0.9","16% (2/12)"
"197",12,"Diontae Spencer",DEN,"11"," 6.6","-","+0.2","30% (3/10)"
"198",12,"Ben Skowronek",LAR,"11"," 3.2","-","-","-"
"199",12,"Brandon Zylstra",CAR,"13"," 9.2","-","-0.6","11% (1/9)"
"200",12,"Marcus Johnson",TEN,"13"," 4.8","-","-0.2","28% (4/14)"
"201",12,"KeeSean Johnson",PHI,"14"," 1.4","-","0.0","41% (5/12)"
"202",12,"Cade Johnson",SEA,"9"," 2.0","-17","-","-"
"203",12,"Javon Wims",FA,"-"," 3.6","-","-0.8","23% (3/13)"
"204",12,"Chad Hansen",DET,"9"," 3.6","-","+0.6","33% (3/9)"
"205",12,"Isaiah Coulter",CHI,"10"," 2.2","-","-2.0","0% (0/2)"
"206",12,"DeAndre Carter",WAS,"9","-","-","-0.6","10% (1/10)"
"207",12,"KhaDarel Hodge",DET,"9"," 5.4","-","-0.5","40% (4/10)"
"208",12,"Malik Taylor",GB,"13","-","-3","-0.6","36% (4/11)"
"209",12,"Chris Hogan",NO,"6","-","-","-2.6","16% (1/6)"
"210",12,"James Proche",BAL,"8","-","-22","-0.4","0% (0/10)"
"211",12,"Geronimo Allison",FA,"-"," 3.8","-","-","-"
"212",12,"DaeSean Hamilton",DEN,"11"," 8.2","-","+0.3","25% (4/16)"
"213",12,"Terry Godwin",JAC,"7","-","-","-0.9","50% (1/2)"
"214",12,"Trishton Jackson",MIN,"7"," 3.2","-","-0.5","0% (0/2)"
"215",12,"Alex Erickson",CAR,"13"," 2.4","-","-0.9","20% (3/15)"
"216",12,"Daurice Fountain",KC,"12","-","-","-1.8","25% (1/4)"
"217",12,"Tom Kennedy",DET,"9","-","-","-","-"
"218",12,"Malcolm Perry",NE,"14","-","-","-2.9","0% (0/7)"
"219",12,"Aaron Fuller",SEA,"9","-","-125","-","-"
"220",12,"Stanley Morgan Jr.",CIN,"10"," 1.8","-10","-0.3","0% (0/7)"
"221",12,"Dan Chisena",MIN,"7","-","-","-0.2","0% (0/7)"
"222",12,"Devin Funchess",FA,"-"," 4.6","-95","-","-"
"223",12,"C.J. Board",NYG,"10"," 3.8","-","-0.8","15% (2/13)"
"224",13,"Marvin Hall",FA,"-"," 5.0","-","0.0","23% (3/13)"
"225",13,"Dante Pettis",NYG,"10"," 6.0","-","-0.4","22% (2/9)"
"226",13,"Riley Ridley",FA,"-"," 3.6","-37","-0.3","20% (1/5)"
"227",13,"Penny Hart",SEA,"9"," 2.0","+17","+0.5","25% (1/4)"
"228",13,"Antonio Callaway",FA,"-"," 3.2","-","-2.0","0% (0/6)"
"229",13,"Antoine Wesley",ARI,"12","-","+20","-","-"
"230",13,"Trenton Irwin",CIN,"10","-","-","+0.6","100% (1/1)"
"231",13,"Dax Milne",WAS,"9","-","+44","-","-"
"232",13,"Rodney Adams",CHI,"10","-","-60","-","-"
"233",13,"D.J. Montgomery",NYJ,"6","-","-7","-","-"
"234",13,"Mack Hollins",MIA,"14"," 6.2","-","-0.5","28% (4/14)"
"235",13,"Jeff Smith",NYJ,"6","-","-","-1.5","10% (1/10)"
"236",13,"Kevin White",NO,"6","-","-","-1.1","0% (0/1)"
"237",13,"Hakeem Butler",PHI,"14","-","-","-","-"
"238",13,"Duke Williams",BUF,"7","-","-","-","-"
"239",13,"Joe Reed",LAC,"7"," 7.8","-","-1.1","0% (0/8)"
"240",13,"Chris Finke",KC,"12"," 3.2","-","-","-"
"241",13,"Jaydon Mickens",TB,"9"," 6.8","-","-0.8","14% (1/7)"
"242",13,"Chris Rowland",FA,"-"," 5.6","-","-","-"
"243",13,"Isaiah Ford",MIA,"14","-","-","-1.9","33% (5/15)"
"244",13,"Dezmon Patmon",IND,"14","-","-74","-0.4","0% (0/1)"
"245",13,"Malik Turner",DAL,"7","-","-","-0.3","0% (0/6)"
"246",13,"Matt Cole",NYG,"10","-","-","-2.4","0% (0/1)"
"247",13,"Austin Trammell",ATL,"6","-","+21","-","-"
"248",13,"Marlon Williams",FA,"-","-","-","-","-"
"249",13,"Kendall Hinton",DEN,"11","-","-10","-2.1","0% (0/1)"
"250",13,"T.J. Vasher",DAL,"7"," 7.6","-","-","-"
"251",13,"Trent Taylor",CIN,"10"," 1.8","-","-1.7","25% (3/12)"
"252",13,"Dez Bryant",FA,"-","-","-119","-1.0","37% (3/8)"
"253",13,"Jalen Camp",HOU,"10","-","+23","-","-"
"254",13,"Tyrie Cleveland",DEN,"11"," 6.6","-","+0.8","42% (3/7)"
"255",13,"Chad Williams",FA,"-"," 3.2","-","-0.3","0% (0/4)"
"256",13,"Trey Quinn",FA,"-"," 4.6","-42","-4.5","0% (0/1)"
"257",13,"Chris Moore",FA,"-","-","-","-0.6","0% (0/5)"
"258",13,"Cody Thompson",SEA,"9","-","-","-","-"
"259",13,"Victor Bolden Jr.",DET,"9","-","-","-0.9","0% (0/3)"
"260",13,"Laquon Treadwell",JAC,"7"," 5.8","-83","+1.6","40% (2/5)"
"261",13,"Nsimba Webster",CHI,"10","-","-8","-0.2","0% (0/4)"
"262",13,"Isaiah Hodgins",BUF,"7"," 6.4","+18","-","-"
"263",13,"Stephen Guidry",DAL,"7","-","-","-","-"
"264",13,"J.J. Nelson",IND,"14","-","-","-","-"
"265",13,"Rysen John",NYG,"10","-","-","-","-"
"266",13,"Matthew Slater",NE,"14","-","-","-0.4","0% (0/3)"
"267",13,"Austin Mack",NYG,"10","-","-","-0.9","22% (2/9)"
"268",14,"Maurice Ffrench",KC,"12","-","-74","-","-"
"269",14,"River Cracraft",SF,"6"," 6.0","-","-0.7","12% (1/8)"
"270",14,"Andre Baccellia",ARI,"12","-","-","-","-"
"271",14,"Davion Davis",CLE,"13","-","-","-","-"
"272",14,"Jonathan Adams Jr.",FA,"-","-","-","-","-"
"273",14,"Javon McKinley",DET,"9","-","-13","-","-"
"274",14,"Allen Hurns",MIA,"14","-","-","-","-"
"275",14,"Kristian Wilkerson",NE,"14","-","-","-","-"
"276",14,"Travis Benjamin",SF,"6","-","-","-","-"
"277",14,"Omar Bayless",CAR,"13","-","-","-","-"
"278",14,"Isaiah Wright",FA,"-"," 7.4","-","-1.0","21% (3/14)"
"279",14,"J.J. Koski",LAR,"11","-","-","-","-"
"280",14,"Warren Jackson",MIN,"7","-","-","-","-"
