"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"169",11,"Gabe Nabers",LAC,"7","-","-","-0.5","8% (1/12)"
"170",11,"Jonathan Williams",WAS,"9"," 5.0","-72","-1.2","0% (0/4)"
"171",11,"Bo Scarbrough",LV,"8"," 2.0","-","-0.3","25% (1/4)"
"172",11,"Rodney Smith",CAR,"13"," 1.8","-","-","-"
"173",11,"Damarea Crockett",DEN,"11"," 7.2","-","-0.1","0% (0/2)"
"174",12,"T.J. Yeldon",FA,"-"," 5.4","-","+0.8","16% (1/6)"
"175",12,"Elijah McGuire",FA,"-"," 7.2","-","-0.7","0% (0/7)"
"176",12,"Johnny Stanton",CLE,"13"," 8.2","-","-","-"
"177",12,"Derrick Gore",KC,"12"," 7.4","-","-","-"
"178",12,"A.J. Rose Jr.",MIN,"7","-","-","-","-"
"179",12,"Dontrell Hilliard",HOU,"10"," 4.8","-","-1.0","18% (2/11)"
"180",12,"DeAndre Washington",FA,"-"," 7.0","-","-2.7","25% (1/4)"
"181",12,"Alfred Morris",NYG,"10","-","-","+1.2","50% (4/8)"
"182",12,"Deon Jackson",IND,"14"," 6.2","-","-","-"
"183",12,"Ryan Nall",CHI,"10"," 6.2","-","-0.5","7% (1/14)"
"184",12,"Tony Brooks-James",FA,"-"," 2.0","-","-0.7","0% (0/6)"
"185",12,"Dexter Williams",NYG,"10"," 3.6","-","-1.9","0% (0/3)"
"186",12,"Rakeem Boyd",FA,"-","-","-","-","-"
"187",12,"B.J. Emmons",FA,"-","-","-","-","-"
"188",12,"JaQuan Hardy",DAL,"7"," 4.0","-","-","-"
"189",12,"Troymaine Pope",FA,"-"," 1.2","-","-1.4","0% (0/7)"
"190",12,"Jacques Patrick",CIN,"10"," 6.4","-","-","-"
"191",12,"Patrick Taylor Jr.",GB,"13"," 3.6","-","-","-"
"192",12,"Antonio Williams",BUF,"7"," 4.6","-","-","-"
"193",12,"Buddy Howell",LAR,"11"," 4.0","-","-0.5","7% (1/13)"
"194",12,"John Kelly",CLE,"13"," 8.4","-","-","-"
