"Rank","WSIT","Wide Receivers","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"114","","Cody Latimer","NYG","9","103","103","103.0","0.0","121.0","+7.0"
"115","","Austin Carr","NO","6","103","103","103.0","0.0","",""
"116","","Dan Arnold","NO","6","107","107","107.0","0.0","",""
"117","","Kevin White","CHI","5","108","108","108.0","0.0","94.0","-23.0"
"118","","Ryan Switzer","PIT","7","112","119","115.5","3.5","",""
"119","","Mack Hollins","PHI ","9","110","124","117.0","7.0","",""
"120","","David Moore","SEA","7","111","111","111.0","0.0","128.0","+8.0"
"121","","Chris Moore","BAL","10","115","120","117.5","2.5","",""
"122","","ArDarius Stewart","NYJ ","11","113","135","124.0","11.0","",""
"123","","Javon Wims","CHI","5","114","114","114.0","0.0","126.0","+3.0"
"124","","Equanimeous St. Brown","GB","7","118","120","119.0","1.0","125.0","+1.0"
"125","","Mike Wallace","PHI ","9","116","116","116.0","0.0","78.0","-47.0"
"126","","Michael Campanaro","TEN ","8","116","116","116.0","0.0","",""
"127","","De'Anthony Thomas","KC","12","117","129","123.0","6.0","",""
"128","","Andre Holmes","BUF","11","118","137","127.5","9.5","",""
"129","","Demarcus Robinson","KC","12","119","138","128.5","9.5","",""
"130","","Jeremy Maclin","FA","","121","121","121.0","0.0","117.0","-13.0"
"131","","Auden Tate","CIN","9","121","128","124.5","3.5","",""
"132","","Carlos Henderson","FA","","122","122","122.0","0.0","",""
"133","","Justin Watson","TB","5","122","122","122.0","0.0","",""
"134","","Josh Reynolds","LAR","12","123","123","123.0","0.0","",""
"135","","Corey Coleman","FA","","126","126","126.0","0.0","95.0","-40.0"
"136","","Pharoh Cooper","LAR ","12","127","127","127.0","0.0","104.0","-32.0"
"137","","Jordan Lasley","BAL","10","130","130","130.0","0.0","",""
"138","","Marcell Ateman","OAK","7","131","131","131.0","0.0","",""
"139","","Jake Kumerow","GB ","7","132","132","132.0","0.0","109.0","-30.0"
"140","","Tajae Sharpe","TEN","8","133","133","133.0","0.0","",""
"141","","J'Mon Moore","GB","7","134","134","134.0","0.0","99.0","-42.0"
"142","","Richie James","SF","11","136","136","136.0","0.0","",""
""
""
