"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"23",4,"Anthony Firkser",TEN,"13"," 2.2","-2","-0.4","31% (5/16)"
"24",4,"Adam Trautman",NO,"6"," 4.0","+4","-0.3","37% (6/16)"
"25",4,"Eric Ebron",PIT,"7"," 9.2","+11","+0.1","60% (9/15)"
"26",4,"Dawson Knox",BUF,"7"," 3.6","+4","+0.6","41% (5/12)"
"27",5,"Hayden Hurst",ATL,"6"," 4.6","+4","-0.3","50% (8/16)"
"28",5,"O.J. Howard",TB,"9"," 5.4","-6","+2.3","75% (3/4)"
"29",5,"Chris Herndon IV",MIN,"7"," 4.4","-5","-1.1","25% (4/16)"
"30",5,"Dan Arnold",CAR,"13"," 2.8","+4","+1.1","56% (9/16)"
"31",5,"Jimmy Graham",CHI,"10"," 1.6","+2","+1.8","37% (6/16)"
"32",5,"Jack Doyle",IND,"14"," 9.4","-","-0.2","35% (5/14)"
"33",5,"Kyle Rudolph",NYG,"10"," 5.6","-","-0.4","50% (6/12)"
"34",5,"Dalton Schultz",DAL,"7"," 2.4","+1","+1.6","62% (10/16)"
"35",5,"Pat Freiermuth",PIT,"7"," 9.2","-16","-","-"
"36",6,"Mo Alie-Cox",IND,"14"," 8.6","+1","0.0","40% (6/15)"
"37",6,"Jordan Akins",HOU,"10"," 6.6","-14","-0.4","38% (5/13)"
"38",6,"Ian Thomas",CAR,"13"," 6.8","-","-1.6","25% (4/16)"
"39",6,"Tyler Conklin",MIN,"7"," 5.6","-","+0.8","31% (5/16)"
"40",6,"Will Dissly",SEA,"9"," 2.4","-","+0.1","43% (7/16)"
"41",6,"Donald Parham Jr.",LAC,"7"," 4.2","0","+0.3","25% (4/16)"
"42",6,"C.J. Uzomah",CIN,"10"," 6.8","-4","+2.4","100% (1/1)"
"43",6,"David Njoku",CLE,"13"," 4.8","-3","-0.3","30% (4/13)"
"44",6,"Harrison Bryant",CLE,"13"," 4.8","-","-0.3","26% (4/15)"
"45",6,"Tyler Kroft",NYJ,"6"," 4.0","-","+0.6","36% (4/11)"
"46",6,"Drew Sample",CIN,"10"," 6.0","-","-0.4","37% (6/16)"
